ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name
yadh1237,Yadhaykenu,Australia,-11.314,142.725,yadh1237,,pama1250,Pama-Nyungan
iaai1238,Iaai,Papunesia,-20.6301,166.59,iaai1238,iai,aust1307,Austronesian
nucl1683,Daba,Africa,10.3521,13.6318,nucl1683,dbq,afro1255,Afro-Asiatic
yala1263,Yala,Africa,6.73852,8.60748,yala1263,yba,atla1278,Atlantic-Congo
serb1264,Serbian,Eurasia,44.3238,21.9192,serb1264,srp,indo1319,Indo-European
ceba1235,Cebaara Senoufo,Africa,9.50768,-6.15264,ceba1235,sef,atla1278,Atlantic-Congo
surs1246,Sursurunga,Papunesia,-3.99078,152.768,surs1246,sgz,aust1307,Austronesian
ying1247,Yinggarda,Australia,-25.4446,115.58,ying1247,yia,pama1250,Pama-Nyungan
waru1265,Warumungu,Australia,-20.6479,134.375,waru1265,wrm,pama1250,Pama-Nyungan
awng1244,Awngi,Africa,10.9819,36.6916,awng1244,awn,afro1255,Afro-Asiatic
nyol1238,Nyole,Africa,0.88072,33.9181,nyol1238,nuj,atla1278,Atlantic-Congo
kari1311,Karitiâna,South America,-9.37937,-64.1522,kari1311,ktn,tupi1275,Tupian
madh1244,Madhi Madhi,Australia,-34.5,143.5,madh1244,dmd,pama1250,Pama-Nyungan
zoog1238,Zoogocho Zapotec,North America,17.2016,-96.3433,zoog1238,zpq,otom1299,Otomanguean
hupa1239,Hupa,North America,41.0982,-123.68,hupa1239,hup,atha1245,Athabaskan-Eyak-Tlingit
ilok1237,Iloko,Papunesia,15.9361,120.993,ilok1237,ilo,aust1307,Austronesian
ewee1241,Ewe,Africa,6.46061,0.814975,ewee1241,ewe,atla1278,Atlantic-Congo
ayer1245,Ayere,Africa,7.52206,6.01979,ayer1245,aye,atla1278,Atlantic-Congo
nucl1310,Burmese,Eurasia,20.7926,93.9665,nucl1310,mya,sino1245,Sino-Tibetan
tokp1240,Tok Pisin,Papunesia,-9.41971,147.303,tokp1240,tpi,indo1319,Indo-European
