ID,Name,Description,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
4EEF82037BC182F6353941401E583F45,tʰ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
1348048F53951A5E29ABA6D5360925BA,t̠ʃ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
9C6117430968F42700ACD02E4E7442F7,t̠ʃʰ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
001066A8DCAAFCD034B8E48F6743B2AA,t̠ʃˀ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER GLOTTAL STOP,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,+,-,-,-,-
F9C8F7C1268A014D84AAEDA9FF26D089,tˀ,LATIN SMALL LETTER T - MODIFIER LETTER GLOTTAL STOP,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,+,-,-,-,-
58EB693AE523323410326D60806B9ADF,u,LATIN SMALL LETTER U,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,-,-,0
3A9677F59A8D4980D4DEADD51C55FF1C,uː,LATIN SMALL LETTER U - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,-,-,0
A61CD1A0C549D454DFFCEB62F61318E5,ɯ,LATIN SMALL LETTER TURNED M,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,-,-,0
ABCFAED5F3E3B8EC06B68A672DE107FB,ɯː,LATIN SMALL LETTER TURNED M - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,-,-,0
501394D0E2658752D9DA624E7DEBE14B,w,LATIN SMALL LETTER W,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,0,0,+,-,-,-,-,-,-,-
27E498422242BAF54775C75A8C884CF7,y,LATIN SMALL LETTER Y,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0
0844E3AEAF1C8E3837465942B92FE4C5,ʔ,LATIN LETTER GLOTTAL STOP,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,+,-,-,-,-
694212B746622E482E0E58D50036100E,b,LATIN SMALL LETTER B,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
E6253384902D489FDB1FE487B7ED4AB2,d,LATIN SMALL LETTER D,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
3A357AE68F00D5DFDA9501F5ED36A6C3,dʲ,LATIN SMALL LETTER D - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
3A3393BDCDC64FE0B39793147F9DBA7D,ɨ,LATIN SMALL LETTER I WITH STROKE,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
EA4BE781596BA71D03B0E14F300A1669,ɨː,LATIN SMALL LETTER I WITH STROKE - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
A5176F73648084056F9A091440AB3FBB,ʝ,LATIN SMALL LETTER J WITH CROSSED-TAIL,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
788A21A51B512E5D85AC93FCB2C5F4B3,k̟,LATIN SMALL LETTER K - COMBINING PLUS SIGN BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
0D5532C7D78A47723C3DCBA529FD22B6,lˠ,LATIN SMALL LETTER L - MODIFIER LETTER SMALL GAMMA,consonant,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
548D8E709B3C8F7FFB5983EA5E033D11,lʲ,LATIN SMALL LETTER L - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
9F38F051ADBEAF0BBD331FEE5F68BA0A,nʲ,LATIN SMALL LETTER N - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
55C328C4539D138964636333EABA3949,ɔ,LATIN SMALL LETTER OPEN O,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,-,0,-,-,0
7D4AEC4169D5DB682621A0F86C706FC9,ɔː,LATIN SMALL LETTER OPEN O - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,-,0,-,-,0
D04E8F48CAEBBBF4F9557E8A12068B7F,ɵ̞,LATIN SMALL LETTER BARRED O - COMBINING DOWN TACK BELOW,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,-,0,-,-,+,-,-,-,0,-,-,0
64E52F5C42AF45C07E1349BEB181A104,ɵ̞ː,LATIN SMALL LETTER BARRED O - COMBINING DOWN TACK BELOW - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,-,0,-,-,+,-,-,-,0,-,-,0
4AC7382217172B3821AE54CD38BD8698,q,LATIN SMALL LETTER Q,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-
AE22B011DAF9516E3388AF4E418B00F4,sʲ,LATIN SMALL LETTER S - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
FC7AAC2F2DD0F75DE6A9EC1F88A4ADB6,tʲ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
10FD223095BD60FD89BEC828E5FD0A26,ʊ,LATIN SMALL LETTER UPSILON,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,-,-,-,+,-,-,-,0,-,-,0
680281361599D0CF12A3F6A9E1FBDC41,æˤ,LATIN SMALL LETTER AE - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,+,-,0,+,-,+,-,-,-,0,-,-,0
EAD02D08B956008937F26E9D7AB013A3,e̞ˤ,LATIN SMALL LETTER E - COMBINING DOWN TACK BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,0,+,-,+,-,-,-,0,-,-,0
ECC959553F23387998DAF88D69D7736C,ɡ,LATIN SMALL LETTER SCRIPT G,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ED74AF5019F80FF5E1F4E598F0085639,ɢ,LATIN LETTER SMALL CAPITAL G,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-
F4908317E8B8D67C64129D5DAF89C210,ɢʷ,LATIN LETTER SMALL CAPITAL G - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-
C699D862DAE3202097065A59720E60BC,ħ,LATIN SMALL LETTER H WITH STROKE,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,+,0,0,0,-,-,-,-,-,-,-,-
47EFCD8477F22831BBE168B378265EE9,k͈,LATIN SMALL LETTER K - COMBINING DOUBLE VERTICAL LINE BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,+,-,-,-
BD268DF0692900D2F893977D115E9B78,k͈ʷ,LATIN SMALL LETTER K - COMBINING DOUBLE VERTICAL LINE BELOW - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,+,-,-,-
0C09EF7DD3A046DCF26731D2541C461C,kʷʰ,LATIN SMALL LETTER K - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,+,-,-,-,-,-
79CFDD4943BC9A9354E6A0E965288214,kʷʼ,LATIN SMALL LETTER K - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,+,-,+,-,-
B9C749831BC59B5585B5AE2159F32788,kʼ,LATIN SMALL LETTER K - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,+,-,+,-,-
1B3FC40CDA830A2E1D11737C375F56B5,ø̞ˤ,LATIN SMALL LETTER O WITH STROKE - COMBINING DOWN TACK BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,+,-,0,+,-,+,-,-,-,0,-,-,0
F83357706FAC7418CD46C5450CDF5597,p͈,LATIN SMALL LETTER P - COMBINING DOUBLE VERTICAL LINE BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,+,-,-,-
646674CE0AF099A6E69FB25363B53313,pʼ,LATIN SMALL LETTER P - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
26013FB332CF0BE71214B7931073BEFF,q͈,LATIN SMALL LETTER Q - COMBINING DOUBLE VERTICAL LINE BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,+,-,-,-
871B92989C5EC420B7D61B05731D1E83,qʰ,LATIN SMALL LETTER Q - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,+,-,-,-,-,-
C749F95225239FC24D4A30336D874577,q͈ʷ,LATIN SMALL LETTER Q - COMBINING DOUBLE VERTICAL LINE BELOW - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,+,-,-,-
371CBFDF45EF7940161892D54B8E1342,qʷʰ,LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,-,-,+,-,-,-,-,-
1230081C3710A6F95C105998800A8557,qʷʼ,LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,+,-,+,-,-
F004A6DF8DC34AB3759000D0EEA099AC,qʼ,LATIN SMALL LETTER Q - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,+,-,+,-,-
5D1D7FB69E1A3C0C60001FBC0C19ED87,r,LATIN SMALL LETTER R,consonant,0,-,-,-,-,+,+,+,0,+,-,+,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
2ABD945579E027CB41F69A6CFF957108,s͈,LATIN SMALL LETTER S - COMBINING DOUBLE VERTICAL LINE BELOW,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,+,-,-,-
9E7CDEEE9F0DE43C10181AE483F62CBD,ʃ,LATIN SMALL LETTER ESH,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
B705DEA8FD3650C5FCF8B1C9B6AA7ED9,ʃ͈,LATIN SMALL LETTER ESH - COMBINING DOUBLE VERTICAL LINE BELOW,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,+,-,-,-
39531FD62BE1C71865C0681EBF03BE96,ʃʷ,LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
27576040F496A94ABFDBED4A8A2B335B,ʃ͈ʷ,LATIN SMALL LETTER ESH - COMBINING DOUBLE VERTICAL LINE BELOW - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,+,-,-,-
EE5AC204287B3AF89F3166256CDE5559,t͈,LATIN SMALL LETTER T - COMBINING DOUBLE VERTICAL LINE BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,+,-,-,-
4E46C273A792BEDB9FA8AECFF337E31C,t͈s,LATIN SMALL LETTER T - COMBINING DOUBLE VERTICAL LINE BELOW - LATIN SMALL LETTER S,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,+,-,-,-
C6880E4D32532681166EBA4D7D3AA2E0,tsʰ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
B63FEEF52B9E1ABA6EC843C4A58C756D,t͈sʷ,LATIN SMALL LETTER T - COMBINING DOUBLE VERTICAL LINE BELOW - LATIN SMALL LETTER S - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,+,-,-,-
7923B7E1859F891FD08B68F016654DB7,tsʷʰ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
E0225FB09FFBFA34B51CC222B4363819,tsʷʼ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
BAC70456E8C04CEFDCAC8240DAFE192F,tsʼ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
961E5EE7C7D29AA4B75F53321D686803,t̠͈ʃ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - COMBINING DOUBLE VERTICAL LINE BELOW - LATIN SMALL LETTER ESH,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,+,-,-,-
053C76BEF448ADAAFF121D3A2417DF5D,t̠͈ʃʷ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - COMBINING DOUBLE VERTICAL LINE BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,+,-,-,-
465EE3F0BEA81EE218D543948184526C,t̠ʃʷʰ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,-,+,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
EC85E594963DDE8FC032ADBF28B2012A,t̠ʃʷʼ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
73C29ACCE17EFB4239E53D799AD7C696,t̠ʃʼ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
